-1927.5,6280.82,-0.38
-6559.33,-1081.6,-0.86
-3414.36,-5582.8,-0.59
-5602.51,-3512.75,70.99
-5920.34,2890.13,0
6516.98,344.13,112.71
-1428.2,-6868.13,0.09
784.24,6838.8,0.03
-732.09,-6970.33,0.04
2366.51,6465.98,0.03
2445.34,6436.44,0.03
2376.63,6462.48,0.03
-5108.54,-4841.98,0.17
-71.86,-7018.95,0.04
-31.48,-7021.39,0.05
57.44,-7018.49,0
6272.09,-2875.06,0.04
6502.7,2555.76,0.03
28112.02,31431.74,22.98
-37087.06,-20056.64,-16.52
-12715.41,-40193.68,26.5
3922.18,-5349.25,-29.68
4904.63,4680.12,0.02
6878.68,1542.69,0.04
-70.48,-6962.68,0.4
7519.58,769.21,0.04
7519.59,767.46,0.04
7519.88,766.24,0.04
7519.63,768.19,0.04
7519.54,769.55,0.04
7520.66,758.09,0.04
5946.65,3682.81,0.04
-2591.01,2.37,6677.1
-3110.41,-173.07,6448.66
3453.3,6240.02,0.03
-2428.69,6574.41,0.03
6437.53,-1074.38,32.59
-7132.56,498.18,0.03
6693.61,652.54,0.02
-5903.55,2852.71,114.6
6142.7,2839.76,0.02
-34157.39,24567.81,-1913.69
4515.41,-6814.46,-0.25
-16194.67,38918.97,1688.57
-41780.1,-7866.79,-1049.49
42176.93,-3452.19,-124.62
41060.15,9505.59,1048.36
-37109.02,-20685.66,-670.77
37289.97,19661.49,802.21
28644.38,30890.63,1976.93
42029.65,3309.95,-157.82
-42165.79,703,14.23
-14605.36,-39538.73,-40.94
24501.91,-34293.8,-62.83
1987.37,6765.07,0.04
-70.13,-6961.94,0.15
-5496.94,-4572.56,0.04
7363,11.46,-0.01
-6686.54,-1247.06,0
3515.73,10390.15,0
8863.57,9549.16,-864.85
-6985.1,-347.07,-0.01
-5899.77,3891.93,-0.07
6748.68,-2230.14,0.04
2360.44,6466.03,0.05
-6958.04,891.07,0.05
-17332.93,27040.28,-5020.07
-6856.83,-1395.63,0.07
-41431.79,7727.91,134
39567.11,-14020.69,-2425.27
-42559.8,-2853.67,-787.4
42385.03,693.91,0.02
-41532.83,-8584.48,2376.33
-30185.04,-29744.11,1511.36
16215.55,38897.42,2048.77
-427.57,6960.53,6.65
22900.65,35417.99,44.62
32769.39,-26527.16,-62.35
26743.11,32605.91,24.79
34119.62,24785.97,28.48
22924.64,35383.34,10.02
22930.81,35409.25,22.88
22950.52,35379.92,-16.32
-36489.1,-21588.62,-2496.62
-35204.68,-23106.69,2120.12
18290.7,-37981.11,-7.83
-26437.16,-32839.05,-8.85
24449.41,34352.95,10.96
31248.73,28313.03,23.3
37635.05,-18999.44,-5.83
-26301.91,32968.34,-18.35
-9907.11,41262.63,284.66
-19281.14,-37488.81,-14.12
-6470.25,2788.3,0.04
2111.9,6739.31,0.1
1873.68,6803.29,0.09
2367.49,6643.62,0.13
790.35,7008.55,0.09
-36010.02,-21929.03,-3.64
-39233.16,-15448.02,17
6033.38,-3475.82,-0.01
-2910.85,6380.92,0.05
7047.53,421.21,0.04
6965.6,979.33,0.03
-6102.26,-3584.89,0.03
562,5627.83,3312.6
29025.8,30938.96,400.04
-41122.89,-10157.8,-534
42216.85,-3891.52,0
-1635.21,6664.24,0.04
-1831.76,6607.24,0.03
3885.42,-2108.39,5268.41
3978.55,-2180.17,5167.81
-5399.45,-2640.69,3409
5384.78,-4725.94,0.04
5162.78,4570.29,0.03
-4446.29,-4743.46,60.71
5577.92,-4357.2,0.04
-6456.68,-2674.1,779.01
-6543.62,-2496.33,0.12
-5590.8,-4456.89,0.04
-5642.95,-4391.83,0.04
2389.63,6456.44,0.03
741.99,-6773.24,0.04
2368.22,-6770.8,0.03
385.66,6940.73,0.04
5331.94,-4794.56,0.04
-3903.22,-5235.38,30.61
3205.43,42054.61,-12.74
41365.2,-8517.99,-1878.51
41808.65,5753.49,1719.43
-41137.12,-10966.67,-1119.59
-34615.33,-24630.36,507.52
6409.81,1123.68,37.17
-21847.43,-36563.81,-1645.12
3420.15,42046.41,-135.19
-41456.33,-7712.9,18.36
6110.58,41733.45,15.85
3176.97,42057.29,32.5
798.44,-3043.49,7150.76
-6891.23,-140.9,0.04
-6891.22,-141.27,0.03
22197.99,-35838.1,-22.85
-39019.95,-15979.02,-4.24
6533.94,-162.73,0.02
-6470.28,-874.17,0.02
4880.06,-5290.51,0.04
-2904.47,-5895.91,-1.38
8402.86,41323.13,19.69
-37524.46,-19230.19,15.63
1012.18,7006.07,-0.13
-2798.62,6220.67,0.03
3089.31,-6262.67,0.03
2838.55,-6381.29,0.04
24849.15,-34063.54,-13.69
