 1963 5:19:06 AM,4575.22,-4685.29,-12.27
 1963 5:30:06 PM,5943.93,-2767.12,-11.59
 1963 6:09:08 PM,-3219.8,-5757.39,-12.16
 1963 6:18:30 AM,-2035.96,6266.17,-9.8
 1963 6:19:05 PM,-6063.45,-2580.08,-12.11
 1963 6:29:13 PM,6503.38,-1142.35,-12.19
 1963 6:39:26 AM,-1637.78,-6327.76,-10.71
 1963 6:41:31 PM,1910.39,6270.29,-12.2
 1963 6:52:14 AM,-2100.48,-6263.42,-12.2
 1963 6:56:06 PM,-10.96,-6532.49,-12.05
 1963 6:57:43 AM,1214.89,6451.45,-8.47
 1963 7:03:50 AM,852.61,-6513.44,-13.59
 1963 7:17:49 PM,6540.06,-780.04,-14.1
 1963 7:22:07 PM,6327.2,1764.94,-14.56
 1963 7:41:26 PM,-6272.11,-2028.66,-8.94
 1963 7:54:43 AM,-38.59,-6580.7,-13.68
 1963 8:02:14 PM,-1235.18,6422.96,-16.09
 1963 8:08:53 AM,6567.41,234.33,-12.17
 1963 8:44:19 PM,4094.47,5195.95,-12.26
 1963 9:22:25 PM,-137.79,-6704.83,-7.23
 1963 9:29:01 AM,3910.96,5304.6,-12.18
 1963 9:42:42 AM,-2730.83,6028.96,-4.8
 1963 9:45:06 AM,1676.74,6323.4,-4.54
 1964 1:37:00 PM,-17.6,-6579.12,1.31
 1964 1:42:52 AM,1793.11,-6299.53,-14.45
 1964 1:59:47 AM,1869.55,6314.26,-10.35
 1964 10:13:36 PM,6420.23,-1184.39,-8.56
 1964 10:18:36 AM,5409.38,3793.3,-6.36
 1964 10:19:53 PM,6558.29,-431.9,-12.58
 1964 10:39:53 PM,-3946.69,5316.23,-8.9
 1964 10:47:23 AM,-6406.48,1559.15,-9.07
 1964 10:59:29 AM,1244.12,818.98,-6509.37
 1964 11:07:00 AM,-4835.89,4517.88,-13.65
 1964 11:07:58 AM,3521,-5518.34,-8.53
 1964 11:24:44 PM,-4906.82,4354.99,-14.81
 1964 12:01:41 PM,6086.61,2598.3,-13.38
 1964 2:00:42 AM,3614.75,5489.56,-9.83
 1964 2:01:01 PM,-6489.9,1130.69,-12.19
 1964 2:18:50 AM,2742.19,5995,-12.25
 1964 2:25:14 AM,2598.85,6051.85,-13.55
 1964 3:05:27 PM,-804.58,6544.71,-3.41
 1964 3:35:41 AM,5899.25,2873.62,-14.67
 1964 3:40:24 PM,-39.96,-6543.55,-5.27
 1964 3:46:28 PM,2207.13,-6181.57,-4.17
 1964 4:00:36 AM,5251.65,-3936.02,-14.72
 1964 4:27:32 AM,6504.52,-646.23,635.32
 1964 4:50:57 AM,5163.6,4096.16,-13.15
 1964 4:52:39 PM,-3860.38,-5293.9,-14.34
 1964 4:53:30 AM,-4669.85,-4643.66,-14.31
 1964 4:56:25 AM,3201.33,-5750.52,-8.84
 1964 5:02:42 AM,-106857.51,-19724.74,30.17
 1964 5:20:43 AM,5428.48,3729.3,-12.22
 1964 5:29:59 PM,-6232.98,-2089.36,-9.07
 1964 5:35:13 AM,6601.49,412.84,-14.83
 1964 5:53:28 PM,-5887.4,2972.03,-8.52
 1964 6:01:43 AM,-66.3,-6557.99,-8.56
 1964 6:09:16 PM,1611.69,6425.79,-12.2
 1964 6:13:34 AM,-4869.96,4588.31,-2.63
 1964 6:52:00 PM,-6446.83,-1727.78,-11.79
 1964 6:53:40 PM,5209.17,4050.88,-12.17
 1964 7:28:19 PM,5200.89,4033.38,-14.46
